"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","SDK 호출 중 에러 메시지를 표시한다","IdentityVerificationButton","2026-08-19","passed","2026-08-19","","","",""
"","0","도메인이 없으면 실패한다","validationRules","2026-08-19","passed","2026-08-19","","isValidEmail","",""
"","17","disabled prop이 true여도 mode가 'create'이면 필수 안내 문구는 그대로 표시된다","BusinessRegistrationSection","2026-08-19","passed","2026-08-19","","","",""
"","7","message가 있으면 기본 색상(red)으로 렌더링된다","AddressField","2026-08-19","passed","2026-08-19","","","",""
"","2","메시지 배열이 비어있으면 기본 에러 메시지를 사용한다","api client","2026-08-19","passed","2026-08-19","","","",""
"","4","result가 false이면 HTTP 상태와 무관하게 에러를 던진다","api client","2026-08-19","passed","2026-08-19","","","",""
"","6","기본 조회 시 첫 페이지(10건)와 전체 통계를 반환한다","item API","2026-08-19","passed","2026-08-19","","","",""
"","0","설정 소메뉴 경로면 settings 그룹만 펼쳐진다","getInitiallyExpandedKeys","2026-08-19","passed","2026-08-19","","","",""
"","5","모든 네비게이션 링크가 렌더링된다","Header","2026-08-19","passed","2026-08-19","","","",""
"","63","label과 input이 접근성 있게 연결되어 렌더링된다","FormFileInput","2026-08-19","passed","2026-08-19","","","",""
"","156","헤더와 전체 행을 렌더링한다 (기본 페이지 크기 50 — 12건이라 1페이지에 모두 표시)","DataTable","2026-08-19","passed","2026-08-19","","","",""
"","220","제목과 준비중 안내 문구를 렌더링한다","ReservationPreparingPage","2026-08-19","passed","2026-08-19","","","",""
"","1925","사업자등록증을 첨부하지 않으면 제출 버튼이 비활성화된다","RegisterPage","2026-08-19","passed","2026-08-19","","","",""
"","21","mode가 'view'이면 사업자등록증 파일 선택 버튼이 렌더링되지 않는다","BusinessRegistrationSection","2026-08-19","passed","2026-08-19","","","",""
"","6","이메일/비밀번호 입력란에 안내 placeholder가 표시된다","LoginPage","2026-08-19","passed","2026-08-19","","로그인 폼 (UI 및 입력)","",""
