"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","""다음 페이지""/""마지막 페이지"" 아이콘 버튼으로 이동할 수 있다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","0","logout()은 accessToken 제거와 isLoggedIn을 동시에 처리한다","authStore","2026-07-30","passed","2026-07-30","","","",""
"","2","성공 시 statusCode 200을 반환한다","changePassword API","2026-07-30","passed","2026-07-30","","","",""
"","439","Turnstile 인증 성공 시 에러 메시지가 표시되지 않는다","LoginPage","2026-07-30","passed","2026-07-30","","Turnstile (봇 차단)","",""
"","338","홈 링크와 모든 대메뉴 버튼이 렌더링된다","Sidebar","2026-07-30","passed","2026-07-30","","","",""
"","2","서버 오류 시 에러를 던진다","withdraw API","2026-07-30","passed","2026-07-30","","","",""
"","3","사이트 로고가 렌더링된다","Header","2026-07-30","passed","2026-07-30","","","",""
"","0","UTC 12:30 → KST 21:30 (시간 변환)","formatDateTime","2026-07-30","passed","2026-07-30","","","",""
"","138","검색어를 입력하고 검색 버튼을 누르면 일치하는 행만 표시된다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","2","KPMFP 헤더가 요청에 포함된다","login API","2026-07-30","passed","2026-07-30","","","",""
"","1","여러 번 호출해도 모두 동일하게 동작한다","requireAuth","2026-07-30","passed","2026-07-30","","","",""
"","2","로그인 요청에 Authorization 헤더가 포함되지 않는다","login API","2026-07-30","passed","2026-07-30","","","",""
"","0","토큰이 없을 때마다 redirect가 호출된다","requireAuth","2026-07-30","passed","2026-07-30","","","",""
"","4","기본 조회 시 첫 페이지(10건)와 전체 통계를 반환한다","item API","2026-07-30","passed","2026-07-30","","","",""
"","2","네트워크 에러를 처리한다","api client","2026-07-30","passed","2026-07-30","","","",""
"","2","성공 시 statusCode 200을 반환한다","withdraw API","2026-07-30","passed","2026-07-30","","","",""
"","2","유효하지 않은 입력으로 가입하면 에러를 던진다","signup API","2026-07-30","passed","2026-07-30","","","",""
"","1","유효한 JWT 토큰이 있으면 아무것도 하지 않는다","requireAuth","2026-07-30","passed","2026-07-30","","","",""
"","0","sortBy/sortOrder로 내림차순 정렬된 결과를 반환한다","item API","2026-07-30","passed","2026-07-30","","","",""
"","34","Logout 버튼 클릭 시 /login으로 이동한다","Header","2026-07-30","passed","2026-07-30","","","",""
"","134","여러 대메뉴를 동시에 펼칠 수 있다","Sidebar","2026-07-30","passed","2026-07-30","","","",""
"","0","분 단위를 정확히 표시한다","formatDateTime","2026-07-30","passed","2026-07-30","","","",""
"","156","""다음 페이지"" 클릭 시 getItems가 다음 page로 재호출된다","ItemRegisterPage","2026-07-30","passed","2026-07-30","","","",""
"","263","페이지 번호 버튼을 클릭하면 해당 페이지로 이동한다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","133","검색어를 입력만 하고 검색 버튼을 누르지 않으면 getItems가 재호출되지 않는다","ItemRegisterPage","2026-07-30","passed","2026-07-30","","","",""
"","0","sortBy/sortOrder로 오름차순 정렬된 결과를 반환한다","item API","2026-07-30","passed","2026-07-30","","","",""
"","0","안전관리 소메뉴 경로면 safety 그룹만 펼쳐진다","getInitiallyExpandedKeys","2026-07-30","passed","2026-07-30","","","",""
"","2","현재 비밀번호가 틀리면 에러를 던진다","changePassword API","2026-07-30","passed","2026-07-30","","","",""
"","2","type O 응답 시 token 없이 응답을 반환한다","login API","2026-07-30","passed","2026-07-30","","","",""
"","13","데이터가 없으면 안내 문구가 표시된다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","137","폼 입력값이 유지된다","LoginPage","2026-07-30","passed","2026-07-30","","로그인 폼 (UI 및 입력)","",""
"","2","토큰 없으면 401 에러를 던진다","withdraw API","2026-07-30","passed","2026-07-30","","","",""
"","0","유효한 JWT 토큰이 있으면 true를 반환한다","isAuthValid","2026-07-30","passed","2026-07-30","","","",""
"","284","제목과 입고등록대기 목록이 렌더링된다","ItemIncomingPendingPage","2026-07-30","passed","2026-07-30","","","",""
"","1","logout()은 sessionStorage의 accessToken을 제거한다","authStore","2026-07-30","passed","2026-07-30","","","",""
"","192","제목과 준비중 안내 문구를 렌더링한다","SafetyHazardousQuantityPage","2026-07-30","passed","2026-07-30","","","",""
"","244","제목과 플레이스홀더 컬럼이 렌더링되고, 데이터가 없으면 안내 문구가 표시된다","ItemPhotoPendingPage","2026-07-30","passed","2026-07-30","","","",""
"","0","만료된 토큰이면 false를 반환한다","isAuthValid","2026-07-30","passed","2026-07-30","","","",""
"","17","UTC 날짜를 KST YYYY.MM.DD 형식으로 변환한다","formatDate","2026-07-30","passed","2026-07-30","","","",""
"","50","컬럼 헤더 경계를 드래그하면 해당 컬럼 너비가 변경된다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","0","whitespace만 있으면 false를 반환한다","isAuthValid","2026-07-30","passed","2026-07-30","","","",""
"","0","토큰이 없으면 false를 반환한다","isAuthValid","2026-07-30","passed","2026-07-30","","","",""
"","263","제목과 플레이스홀더 컬럼이 렌더링되고, 데이터가 없으면 안내 문구가 표시된다","SafetyHazardousChemicalPage","2026-07-30","passed","2026-07-30","","","",""
"","0","logout()은 isLoggedIn을 false로 만든다","authStore","2026-07-30","passed","2026-07-30","","","",""
"","270","검색어를 입력하고 검색 버튼을 누르면 getItems가 새 keyword로 재호출된다","ItemRegisterPage","2026-07-30","passed","2026-07-30","","","",""
"","83","검색어를 입력만 하고 검색 버튼을 누르지 않으면 필터링되지 않는다","DataTable","2026-07-30","passed","2026-07-30","","","",""
"","450","isOpen=true이면 모달이 렌더링된다","KetcherLoader","2026-07-30","passed","2026-07-30","","","",""
"","0","월/일 경계값을 처리한다 (월 말일)","formatDate","2026-07-30","passed","2026-07-30","","","",""
"","53","현재 경로와 무관한 대메뉴는 초기에 접혀 있다","Sidebar","2026-07-30","passed","2026-07-30","","","",""
"","2","KPMFP 헤더가 요청에 포함될 수 있다","otpLogin API","2026-07-30","passed","2026-07-30","","","",""
"","165","로그인 상태면 Logout 버튼을 보여준다","Header","2026-07-30","passed","2026-07-30","","","",""
"","236","제목과 플레이스홀더 컬럼이 렌더링되고, 데이터가 없으면 안내 문구가 표시된다","SafetySpecialSubstancePage","2026-07-30","passed","2026-07-30","","","",""
"","0","Date 객체도 입력받을 수 있다","formatDateTime","2026-07-30","passed","2026-07-30","","","",""
"","0","setLoggedIn(false)는 isLoggedIn을 false로 만든다","authStore","2026-07-30","passed","2026-07-30","","","",""
